T_K,S,E_Vpm,delta_nm,c,rho_kg_m3,sigma_N_m,r_std_nm,N_std,G_std_eV,r_corr_nm,N_corr,G_corr_eV,barrier_change_pct,field_gain_J_per_molecule,CNT_validity_flag
253.0,3.0,400000000.0,0.0,0.3,993.4714132445148,0.0783406314062995,1.140580503096214,206.41059707978363,2.66450886927128,1.1363962876548666,204.1472708458888,2.644995248319132,-0.7323533870422063,2.9893012147294124e-22,preferred_CNT_range
253.0,3.0,400000000.0,0.05,0.3,993.4714132445148,0.0783406314062995,1.140580503096214,206.41059707978363,2.66450886927128,1.0841698487698928,177.27444527380658,2.018025204082712,-24.26277024798856,2.9893012147294124e-22,preferred_CNT_range
253.0,3.0,400000000.0,0.1,0.3,993.4714132445148,0.0783406314062995,1.140580503096214,206.41059707978363,2.66450886927128,1.0284311307647744,151.31424055086603,1.518324195695391,-43.01673328223376,2.9893012147294124e-22,preferred_CNT_range
253.0,3.0,600000000.0,-0.05,0.0,993.4714132445148,0.0783406314062995,1.04895071747974,160.55336509339097,2.253592827772696,1.0963091161266465,183.29610469975637,2.9806364213004093,32.26153298714019,6.602627293896386e-22,preferred_CNT_range
253.0,3.0,600000000.0,0.0,0.0,993.4714132445148,0.0783406314062995,1.04895071747974,160.55336509339097,2.253592827772696,1.0489504697446117,160.55325133771555,2.2535928277723194,-1.6708817663166842e-11,6.602627293896386e-22,preferred_CNT_range
253.0,3.0,600000000.0,0.05,0.0,993.4714132445148,0.0783406314062995,1.04895071747974,160.55336509339097,2.253592827772696,0.9967706824898812,137.76532685423658,1.6807945868809544,-25.41711323504068,6.602627293896386e-22,preferred_CNT_range
253.0,3.0,600000000.0,0.1,0.0,993.4714132445148,0.0783406314062995,1.04895071747974,160.55336509339097,2.253592827772696,0.940891998197873,115.87066107903466,1.2332051093749214,-45.27826437068754,6.602627293896386e-22,preferred_CNT_range
253.0,3.0,600000000.0,-0.05,0.075,993.4714132445148,0.0783406314062995,1.04895071747974,160.55336509339097,2.253592827772696,1.0942703483268137,182.2753971240073,2.970672455195032,31.819396058828016,6.602627293896386e-22,preferred_CNT_range
253.0,3.0,600000000.0,0.0,0.075,993.4714132445148,0.0783406314062995,1.04895071747974,160.55336509339097,2.253592827772696,1.046825857920894,159.57964133560813,2.244471868928754,-0.4047296712847746,6.602627293896386e-22,preferred_CNT_range
253.0,3.0,600000000.0,0.05,0.075,993.4714132445148,0.0783406314062995,1.04895071747974,160.55336509339097,2.253592827772696,0.9945300609910152,136.83837363583658,1.6725594162834585,-25.78253730348853,6.602627293896386e-22,preferred_CNT_range
253.0,3.0,600000000.0,0.1,0.075,993.4714132445148,0.0783406314062995,1.04895071747974,160.55336509339097,2.253592827772696,0.9385069299891684,114.99173083404877,1.2258684333871426,-45.60381900936776,6.602627293896386e-22,preferred_CNT_range
