replica,N,T_K,E_Vpm,Tstar,Estar,rho_star,L_star,alpha_ewald,mean_Estar,sd_Estar_time,mean_mz,acceptance
7,100,233.0,1000000000.0,2.9796375237984467,1.8084552985793738,0.8,4.999999999999999,1.6000000000000003,-5068.9156802474545,53.35814857134669,0.9026118316195981,0.631488
0,20,253.0,0.0,3.2354004013777122,0.0,0.8,2.924017738212866,2.735961514682715,-783.0415545290126,25.447583409001602,0.20948883768562426,0.67629
1,20,253.0,0.0,3.2354004013777122,0.0,0.8,2.924017738212866,2.735961514682715,-787.9085655840141,27.5921627592618,0.32284709412327506,0.66708
2,20,253.0,0.0,3.2354004013777122,0.0,0.8,2.924017738212866,2.735961514682715,-821.8757214479401,23.886678197309493,-0.1542973558663155,0.65854
3,20,253.0,0.0,3.2354004013777122,0.0,0.8,2.924017738212866,2.735961514682715,-803.046545286347,28.77940846877788,-0.36769959737914276,0.66534996
4,20,253.0,0.0,3.2354004013777122,0.0,0.8,2.924017738212866,2.735961514682715,-810.8611115422486,32.58961786444359,0.6474935723072326,0.66971
5,20,253.0,0.0,3.2354004013777122,0.0,0.8,2.924017738212866,2.735961514682715,-809.0241309628082,25.479805515085534,-0.2975336662928802,0.65813
6,20,253.0,0.0,3.2354004013777122,0.0,0.8,2.924017738212866,2.735961514682715,-841.8277363589626,38.5857436405439,-0.0028708093839710166,0.6606
7,20,253.0,0.0,3.2354004013777122,0.0,0.8,2.924017738212866,2.735961514682715,-802.0889550478097,30.71099820730861,0.45259310046200046,0.66971
0,20,253.0,1000000000.0,3.2354004013777122,1.8084552985793738,0.8,2.924017738212866,2.735961514682715,-945.0865755300032,25.772535475736703,0.8095630990285406,0.66899997
1,20,253.0,1000000000.0,3.2354004013777122,1.8084552985793738,0.8,2.924017738212866,2.735961514682715,-961.6569779244118,33.739218518351834,0.8117447276353941,0.64862
2,20,253.0,1000000000.0,3.2354004013777122,1.8084552985793738,0.8,2.924017738212866,2.735961514682715,-974.6416439147469,25.213138070880188,0.8507358803812669,0.66113997
3,20,253.0,1000000000.0,3.2354004013777122,1.8084552985793738,0.8,2.924017738212866,2.735961514682715,-955.7673414807668,27.14174761578191,0.8452627416537747,0.66126996
4,20,253.0,1000000000.0,3.2354004013777122,1.8084552985793738,0.8,2.924017738212866,2.735961514682715,-944.8395580640854,26.581125496015623,0.8421711166106043,0.66466
5,20,253.0,1000000000.0,3.2354004013777122,1.8084552985793738,0.8,2.924017738212866,2.735961514682715,-952.0134017338548,22.659939437167576,0.8364085527949037,0.66740996
6,20,253.0,1000000000.0,3.2354004013777122,1.8084552985793738,0.8,2.924017738212866,2.735961514682715,-958.8575594762247,27.07988444189445,0.8498156158787428,0.66178
7,20,253.0,1000000000.0,3.2354004013777122,1.8084552985793738,0.8,2.924017738212866,2.735961514682715,-953.382262850455,26.195253560625986,0.8227564497242487,0.65731
0,50,253.0,0.0,3.2354004013777122,0.0,0.8,3.9685026299204984,2.015873679831797,-1993.4077813729537,39.41910024771028,0.1605568750028246,0.660484
1,50,253.0,0.0,3.2354004013777122,0.0,0.8,3.9685026299204984,2.015873679831797,-2033.1982247600747,35.561550329580044,-0.10381705540875773,0.660956
2,50,253.0,0.0,3.2354004013777122,0.0,0.8,3.9685026299204984,2.015873679831797,-2019.4824601345942,44.16604953203531,-0.04590107384722829,0.657456
3,50,253.0,0.0,3.2354004013777122,0.0,0.8,3.9685026299204984,2.015873679831797,-2025.4900846435671,45.016142390997516,0.08517683599140768,0.662144
4,50,253.0,0.0,3.2354004013777122,0.0,0.8,3.9685026299204984,2.015873679831797,-2033.8196415157731,50.46017479966579,-0.4788151667285038,0.659756
5,50,253.0,0.0,3.2354004013777122,0.0,0.8,3.9685026299204984,2.015873679831797,-1988.7476829032648,43.40431007605759,-0.005323778241101479,0.659904
