replica,N,T_K,E_Vpm_0,Tstar_0,Estar_0,rho_star_0,L_star_0,alpha_ewald_0,mean_Estar_0,sd_Estar_time_0,mean_mz_0,acceptance_0,E_Vpm_E,Tstar_E,Estar_E,rho_star_E,L_star_E,alpha_ewald_E,mean_Estar_E,sd_Estar_time_E,mean_mz_E,acceptance_E,delta_E,pct_change,lower_energy
3,100,233.0,0.0,2.9796375237984467,0.0,0.8,4.999999999999999,1.6000000000000003,-4067.739868590722,61.65156260734063,0.1546564615064496,0.64487,1000000000.0,2.9796375237984467,1.8084552985793736,0.8,4.999999999999999,1.6000000000000003,-4994.519476723065,82.71862771741179,0.8902744723641726,0.635718,-926.7796081323431,22.783649841734547,True
4,100,233.0,0.0,2.9796375237984467,0.0,0.8,4.999999999999999,1.6000000000000003,-4103.20703229179,47.15656666620912,-0.0028810379524303,0.646998,1000000000.0,2.9796375237984467,1.8084552985793736,0.8,4.999999999999999,1.6000000000000003,-5038.552860073621,90.6500925174416,0.8977116099443172,0.634084,-935.3458277818308,22.795482178226976,True
5,100,233.0,0.0,2.9796375237984467,0.0,0.8,4.999999999999999,1.6000000000000003,-4104.670811445972,55.27781230880773,0.2552782071486592,0.644246,1000000000.0,2.9796375237984467,1.8084552985793736,0.8,4.999999999999999,1.6000000000000003,-4996.356844363439,56.267993674279296,0.8689848761836407,0.63439,-891.6860329174679,21.723691713132762,True
6,100,233.0,0.0,2.9796375237984467,0.0,0.8,4.999999999999999,1.6000000000000003,-4118.964557116529,52.186438152081,0.0610449290568728,0.646754,1000000000.0,2.9796375237984467,1.8084552985793736,0.8,4.999999999999999,1.6000000000000003,-4971.748504346228,57.84807472884548,0.8762014054167927,0.639528,-852.7839472296992,20.70384280817139,True
7,100,233.0,0.0,2.9796375237984467,0.0,0.8,4.999999999999999,1.6000000000000003,-4207.633824432814,52.45693752764207,-0.1689712542923845,0.640366,1000000000.0,2.9796375237984467,1.8084552985793736,0.8,4.999999999999999,1.6000000000000003,-5068.915680247455,53.35814857134669,0.902611831619598,0.631488,-861.281855814641,20.469505944489857,True
0,20,253.0,0.0,3.235400401377712,0.0,0.8,2.924017738212866,2.735961514682715,-783.0415545290126,25.4475834090016,0.2094888376856242,0.67629,1000000000.0,3.235400401377712,1.8084552985793736,0.8,2.924017738212866,2.735961514682715,-945.0865755300032,25.772535475736703,0.8095630990285406,0.66899997,-162.04502100099057,20.694306715108898,True
1,20,253.0,0.0,3.235400401377712,0.0,0.8,2.924017738212866,2.735961514682715,-787.9085655840141,27.5921627592618,0.322847094123275,0.66708,1000000000.0,3.235400401377712,1.8084552985793736,0.8,2.924017738212866,2.735961514682715,-961.6569779244118,33.739218518351834,0.8117447276353941,0.64862,-173.74841234039764,22.051849659942675,True
2,20,253.0,0.0,3.235400401377712,0.0,0.8,2.924017738212866,2.735961514682715,-821.8757214479401,23.886678197309493,-0.1542973558663155,0.65854,1000000000.0,3.235400401377712,1.8084552985793736,0.8,2.924017738212866,2.735961514682715,-974.6416439147469,25.213138070880188,0.8507358803812669,0.66113997,-152.76592246680673,18.5874723489424,True
3,20,253.0,0.0,3.235400401377712,0.0,0.8,2.924017738212866,2.735961514682715,-803.046545286347,28.77940846877788,-0.3676995973791427,0.66534996,1000000000.0,3.235400401377712,1.8084552985793736,0.8,2.924017738212866,2.735961514682715,-955.7673414807668,27.14174761578191,0.8452627416537747,0.66126996,-152.7207961944198,19.017676757449124,True
4,20,253.0,0.0,3.235400401377712,0.0,0.8,2.924017738212866,2.735961514682715,-810.8611115422486,32.58961786444359,0.6474935723072326,0.66971,1000000000.0,3.235400401377712,1.8084552985793736,0.8,2.924017738212866,2.735961514682715,-944.8395580640854,26.581125496015623,0.8421711166106043,0.66466,-133.97844652183676,16.522983358643415,True
